Paper Link,Material,Formulation,Elastic Modulus,Yield Stress (Pa),Extensional Strain-to-Break (%),"Type (P = physical, C = covalent, S=Single molecule)","Method (A = Approximated, V = Value Provided)",Notes,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Polystyrene,--,--,--,1.4,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Polystyrene,--,--,--,1.4,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Polystyrene,--,--,--,0.9,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((4,4′-oxydianiline)-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,4-diisopropylbenzene})",--,--,--,8.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((3,4′-oxydianiline)-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,4-diisopropylbenzene})",--,--,--,5.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((4,4′-methylenedianiline)-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,4-diisopropylbenzene})",--,--,--,6.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(1,4-phenylenedioxy)dianiline]-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,4-diisopropylbenzene})",--,--,--,7.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[1-methylethane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,4-diisopropylbenzene})",--,--,--,7.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(biphenyl-4,4′-diyldioxy)dianiline]-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,4-diisopropylbenzene})",--,--,--,7.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[sulfonylbis(4,1-phenyleneoxy)]dianiline}-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,4-diisopropylbenzene})",--,--,--,6.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[1-(trifluoromethyl)-2,2,2-trifluoroethane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,4-diisopropylbenzene})",--,--,--,7.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((m-phenylenediamine)-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,3-diisopropylbenzene})",--,--,--,4.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((4,4′-oxydianiline)-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,3-diisopropylbenzene})",--,--,--,6.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((3,4′-oxydianiline)-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,3-diisopropylbenzene})",--,--,--,5.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly((4,4′-methylenedianiline)-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,3-diisopropylbenzene})",--,--,--,6.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly([4,4′-(1,4-phenylenedioxy)dianiline]-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,3-diisopropylbenzene})",--,--,--,5.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[1-methylethane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,3-diisopropylbenzene})",--,--,--,6.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[1-(trifluoromethyl)-2,2,2-trifluoroethane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{alpha,alpha′-bis[4-(4-carboxyphenoxy)phenyl]-1,3-diisopropylbenzene})",--,--,--,6.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly({4,4′-[1-(trifluoromethyl)-2,2,2-trifluoroethane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-(5-tert-butylisophthalic acid))",--,--,--,8.0,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Poly{[2-(trifluoromethyl)phenyl]acetylene},--,--,--,1.7,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Poly{[o-(trimethylsilyl)phenyl]acetylene},--,--,--,4.3,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,Poly[(2-ethynylphenyl)(trimethyl)germane],--,--,--,1.6,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly(1-{2-[(trimethylsilyl)methyl]phenyl}ethene-1,2-diyl)",--,--,--,2.4,S,V,elongation at break,
https://www-sciencedirect-com.stanford.idm.oclc.org/science/article/pii/S0169743914001981,"Poly[(4-butyl-2,3,5,6-tetrafluorophenyl)acetylene]",--,--,--,8.1,S,V,elongation at break,
